Date,Open,High,Low,Close,Adj Close,Volume,perc_return
4/10/2017,66.160004,66.620003,64.779999,64.870003,55.192387,17078100,-2.07%
4/17/2017,64.849998,66.419998,64.839996,65.629997,55.839008,32571500,1.17%
4/24/2017,66.300003,67.279999,63.860001,64.230003,54.647865,51323200,-2.13%
5/1/2017,64.43,64.57,62.900002,64.089996,54.528759,31427300,-0.22%
5/8/2017,64.410004,64.620003,62.830002,63.099998,53.686447,25695600,-1.54%
5/15/2017,63.110001,64.010002,61.5,63.049999,53.643906,25068000,-0.08%
5/22/2017,63.57,64.709999,62.709999,64.25,54.664883,13963100,1.90%
5/29/2017,64.470001,64.940002,63.860001,64.839996,55.166866,11942300,0.92%
6/5/2017,64.610001,65.82,64.059998,65.690002,55.890057,14581300,1.31%
6/12/2017,65.599998,66.18,64.300003,65.050003,55.345531,32932300,-0.97%
6/19/2017,65.370003,65.849998,64.809998,65.269997,55.532707,18511000,0.34%
6/26/2017,65.5,66.089996,64.959999,65.349998,55.600784,16522100,0.12%
7/3/2017,65.790001,66.050003,64.470001,65.120003,55.40509,11193800,-0.35%
7/10/2017,65.129997,65.68,64.82,65.169998,55.957649,12245900,0.08%
7/17/2017,65.160004,65.57,64.519997,65.349998,56.112209,15654000,0.28%
7/24/2017,65.349998,65.510002,63.57,64.07,55.013157,11682800,-1.96%
7/31/2017,64.089996,64.68,63.610001,64.190002,55.116184,10575500,0.19%
8/7/2017,64.269997,64.57,63.34,63.560001,54.575241,11908100,-0.98%
8/14/2017,63.939999,64.599998,63.130001,63.73,54.72121,10390900,0.27%
8/21/2017,63.880001,65.080002,63.720001,64.82,55.657124,9869300,1.71%
8/28/2017,64.830002,67.639999,63.880001,67.5,57.958298,17334700,4.13%
9/4/2017,67.230003,67.389999,66.099998,66.129997,56.781948,10085800,-2.03%
9/11/2017,66.519997,67.489998,66.099998,67.449997,57.915359,24745200,2.00%
9/18/2017,67.5,69.260002,67.410004,69.129997,59.357868,12570600,2.49%
9/25/2017,69.279999,70.610001,69.139999,70.25,60.319553,17553700,1.62%
10/2/2017,70.400002,71.849998,70.150002,70.400002,60.448349,18268200,0.21%
10/9/2017,70.43,71.349998,70.43,71.080002,61.549446,10743300,0.97%
10/16/2017,71.099998,72.459999,71.010002,71.669998,62.060326,14778000,0.83%
10/23/2017,71.690002,72.949997,71.43,72.769997,63.012852,12237200,1.53%
10/30/2017,72.699997,73.690002,72.650002,73.279999,63.45446,10905800,0.70%
11/6/2017,73.309998,73.470001,72.410004,72.699997,62.95224,8034400,-0.79%
11/13/2017,72.349998,73.730003,72.32,73.550003,63.688271,8906500,1.17%
11/20/2017,73.349998,74.75,73.349998,73.989998,64.069267,9027100,0.60%
11/27/2017,74.239998,75.089996,72.43,73.32,63.489086,19093000,-0.91%
12/4/2017,73.800003,74,71.739998,72.849998,63.082111,15757900,-0.64%
12/11/2017,72.949997,72.949997,71.610001,71.830002,62.198879,19930400,-1.40%
12/18/2017,72.099998,73.160004,72.050003,72.989998,63.20335,11906000,1.61%
12/25/2017,72.989998,73.68,72.779999,73.650002,63.774872,8244600,0.90%
1/1/2018,73.760002,74.980003,73.349998,74.900002,64.857254,13218800,1.70%
1/8/2018,75,75.209999,73.239998,73.370003,63.532406,14049400,-2.04%
1/15/2018,73.5,74.410004,73.160004,74.080002,64.666405,13930500,0.97%
1/22/2018,74.120003,75,73.559998,74.050003,64.640221,17053600,-0.04%
1/29/2018,74,75.089996,73.830002,73.940002,64.544189,16008000,-0.15%
2/5/2018,73.489998,73.629997,69.209999,70.809998,61.811935,23798900,-4.23%
2/12/2018,71.330002,73.050003,70.68,72.550003,63.330826,18007400,2.46%
2/19/2018,72.559998,73.970001,72.129997,73.970001,64.570389,11847100,1.96%
2/26/2018,74.190002,75.669998,73.860001,74.629997,65.1465,22367500,0.89%
3/5/2018,74.080002,76.110001,74.019997,75.830002,66.194031,16294200,1.61%
3/12/2018,76,76.650002,75.510002,75.919998,66.272583,24785700,0.12%
3/19/2018,76.029999,76.650002,73.099998,73.209999,63.906948,18589800,-3.57%
3/26/2018,74.019997,74.120003,72.169998,73.110001,63.81966,12936600,-0.14%
4/2/2018,73.269997,73.269997,70.589996,71.330002,62.265862,16631800,-2.43%
4/9/2018,71.010002,71.620003,69.709999,69.900002,61.017563,13137500,-2.00%
4/16/2018,70.190002,70.550003,69.370003,70.190002,61.851692,12846000,0.41%
4/23/2018,70.57,72.470001,70.43,72.260002,63.675781,10947700,2.95%
4/30/2018,72.400002,73.349998,71.900002,72.93,64.266182,13931100,0.93%
5/7/2018,73.199997,74.959999,73.029999,74.669998,65.799484,18127000,2.39%
5/14/2018,74.949997,75.730003,74.730003,75.599998,66.618996,16861100,1.25%
5/21/2018,75.349998,76.809998,75.300003,76.400002,67.323959,15227700,1.06%
5/28/2018,76.5,76.75,74.849998,75.019997,66.107903,20448200,-1.81%
6/4/2018,75.059998,75.879997,74.919998,75.199997,66.266495,14007200,0.24%
6/11/2018,75.199997,76.449997,75.18,75.629997,66.645439,21531700,0.57%
6/18/2018,75.75,77.470001,75.419998,77,67.852661,13753500,1.81%
6/25/2018,76.949997,77.050003,75.370003,76.089996,67.050781,19507900,-1.18%
7/2/2018,76.550003,76.550003,75.449997,75.980003,66.95385,8105800,-0.14%
7/9/2018,75.620003,76.550003,75.459999,75.949997,66.927406,12713700,-0.04%
7/16/2018,75.910004,76.5,75.889999,76.010002,67.57618,9980000,0.08%
7/23/2018,75.900002,77,75.849998,76.75,68.234077,9965300,0.97%
7/30/2018,76.889999,77.449997,76.379997,76.910004,68.376335,9892800,0.21%
8/6/2018,77.199997,77.790001,76.470001,77.389999,68.803062,9331500,0.62%
8/13/2018,77.379997,78.910004,77.349998,78.699997,69.967712,14141200,1.69%
8/20/2018,78.870003,79.190002,78.400002,78.5,69.789894,10974700,-0.25%
8/27/2018,78.690002,79.540001,78.639999,78.650002,69.923248,13383400,0.19%
9/3/2018,78.599998,79.760002,78.050003,79.620003,70.785637,11388600,1.23%
9/10/2018,79.699997,79.879997,78.440002,78.93,70.172195,15333700,-0.87%
9/17/2018,78.910004,80.050003,78.75,79.650002,70.812309,17583500,0.91%
9/24/2018,79.940002,79.940002,78.410004,78.489998,69.781006,17168300,-1.46%
10/1/2018,79.239998,79.239998,76.760002,77.029999,68.483009,15156000,-1.86%
10/8/2018,76.5,76.669998,73.529999,74.290001,66.047028,18134400,-3.56%
10/15/2018,74.459999,75.139999,73.879997,74.040001,66.402344,13938100,-0.34%
10/22/2018,74.209999,74.330002,71.309998,72.309998,64.850784,17268600,-2.34%
10/29/2018,72.800003,73.610001,71.860001,72.910004,65.388893,17304900,0.83%
11/5/2018,72.970001,73.75,72.739998,73.239998,65.684853,15249700,0.45%
11/12/2018,73.339996,73.599998,72.239998,72.620003,65.128815,12275500,-0.85%
11/19/2018,72.540001,72.650002,70.32,71.449997,64.079514,11803300,-1.61%
11/26/2018,71.900002,74.260002,71.43,73.559998,65.971855,16788600,2.95%
12/3/2018,74.400002,74.400002,69.709999,69.830002,62.626621,21632700,-5.07%
12/10/2018,70.050003,70.620003,69.260002,69.580002,62.402405,19900600,-0.36%
12/17/2018,69.290001,69.75,66.150002,66.150002,59.326241,32858800,-4.93%
12/24/2018,65.809998,68.150002,65.559998,67.629997,60.653561,11773400,2.24%
12/31/2018,68.07,68.43,67.120003,67.980003,60.967457,17444000,0.52%
1/7/2019,68.589996,68.870003,67.330002,68.860001,61.756683,25841300,1.29%
1/14/2019,68.739998,72.580002,68.419998,72.339996,65.525024,18415800,5.05%
1/21/2019,72.580002,73.099998,71.730003,72.830002,65.968864,13017200,0.68%
1/28/2019,72.400002,74.529999,72.339996,73.769997,66.820297,14926500,1.29%
2/4/2019,74.239998,74.93,73.910004,74.620003,67.590233,15287200,1.15%
2/11/2019,74.800003,75.760002,73.959999,75.360001,68.260529,14265000,0.99%
2/18/2019,75.5,76.639999,75.139999,76.220001,69.039513,12152700,1.14%
2/25/2019,76.519997,77.400002,74.839996,75.160004,68.079361,19846100,-1.39%
3/4/2019,75.480003,75.75,73.989998,74.830002,67.780457,19942800,-0.44%
3/11/2019,74.790001,75.849998,74.669998,75.57,68.450737,28948000,0.99%
3/18/2019,75.599998,76.400002,73.730003,74,67.028641,17442300,-2.08%
3/25/2019,73.82,74.480003,72.489998,72.519997,65.688072,27102000,-2.00%
4/1/2019,73,74.980003,72.800003,74.970001,67.907265,18612800,3.38%
4/8/2019,75,75.019997,73.489998,74.470001,67.454369,23967500,-0.67%
4/15/2019,74.400002,75.93,74.400002,75.75,69.297333,11664000,1.72%
4/22/2019,75.529999,75.860001,74.440002,75.440002,69.013748,13255600,-0.41%
4/29/2019,75.419998,76.559998,75.410004,76.480003,69.965141,14689000,1.38%
5/6/2019,75.739998,76.459999,73.580002,74.279999,67.952545,14682200,-2.88%
5/13/2019,73.5,74.440002,73.169998,74.370003,68.034882,10947100,0.12%
5/20/2019,74.349998,76.370003,73.629997,76.099998,69.617508,13704000,2.33%
5/27/2019,76.25,76.730003,73.739998,73.900002,67.604927,11879500,-2.89%
6/3/2019,73.800003,75.779999,73.470001,75.330002,68.913116,12667400,1.94%
6/10/2019,75.669998,76.209999,74.919998,75.910004,69.44371,10519100,0.77%
6/17/2019,75.82,77.580002,75.699997,76.5,69.983444,18427100,0.78%
6/24/2019,76.510002,77.459999,75.900002,76.519997,70.00174,16739100,0.03%
7/1/2019,76.120003,77.959999,76.120003,77.650002,71.035492,13239900,1.48%
7/8/2019,77.599998,77.599998,76.25,76.529999,70.010887,21143200,-1.44%
7/15/2019,76.589996,77.540001,76.309998,76.769997,70.908203,15300200,0.31%
7/22/2019,76.639999,77.639999,76.610001,77.239998,71.342316,11994400,0.61%
7/29/2019,77.150002,77.910004,74.68,75.290001,69.541214,15610300,-2.52%
8/5/2019,74.25,75.25,73.370003,74.68,68.977783,14646200,-0.81%
8/12/2019,74.209999,74.919998,71.400002,72.519997,66.982719,15464200,-2.89%
8/19/2019,73.199997,73.349998,71.360001,71.580002,66.114487,11879700,-1.30%
8/26/2019,71.82,72.349998,71.220001,72.199997,66.687141,16404400,0.87%
9/2/2019,72,73.040001,71.32,72.940002,67.370644,11230700,1.02%
9/9/2019,73.349998,75.410004,72.849998,75.209999,69.467316,20049800,3.11%
9/16/2019,74.889999,76.970001,74.730003,76.580002,70.732712,20934800,1.82%
9/23/2019,76.349998,76.919998,75.629997,76.790001,70.926674,17608600,0.27%
9/30/2019,76.949997,77.449997,72.160004,73.800003,68.164993,34287200,-3.89%
10/7/2019,73.800003,74.110001,72.269997,73.760002,68.128044,18017900,-0.05%
10/14/2019,73.949997,74.790001,73.68,74.099998,69.141426,15223700,0.46%
10/21/2019,74.209999,75.339996,74.209999,75.160004,70.130493,13732900,1.43%
10/28/2019,75.300003,75.650002,74.720001,75.339996,70.298439,12807100,0.24%
11/4/2019,75.690002,76.68,75.629997,76.550003,71.427475,14942700,1.61%
11/11/2019,76.400002,77.029999,76.129997,76.720001,71.586098,10005100,0.22%
11/18/2019,76.589996,77.410004,76.489998,77.059998,71.903343,14730200,0.44%
11/25/2019,77.190002,77.720001,76.370003,76.589996,71.46479,11428800,-0.61%
12/2/2019,76.669998,76.830002,73.010002,73.43,68.516251,16716800,-4.13%
12/9/2019,73.400002,74.330002,72.43,74.309998,69.337372,18610800,1.20%
12/16/2019,74.75,74.849998,73.489998,73.860001,68.91748,23905200,-0.61%
12/23/2019,73.980003,74.099998,73.059998,73.389999,68.478928,5071700,-0.64%
12/30/2019,73.5,73.550003,72.639999,73.360001,68.450935,9410500,-0.04%
1/6/2020,73,74.199997,72.830002,73,68.115036,27258700,-0.49%
1/13/2020,73,74.389999,72.650002,74.120003,69.860016,24731700,1.53%
1/20/2020,74.129997,74.540001,73.610001,74.199997,69.93541,13012900,0.11%
1/27/2020,73.389999,74.709999,72.900002,73.139999,68.936325,12867000,-1.43%
2/3/2020,73.279999,75.989998,73.110001,75.75,71.396324,14760700,3.57%
2/10/2020,75.449997,75.980003,74.709999,75.290001,70.962761,9936300,-0.61%
2/17/2020,75,76.099998,74.879997,75.769997,71.415176,10182000,0.64%
2/24/2020,74.449997,75.029999,67.690002,69.040001,65.071968,29033900,-8.88%
3/2/2020,68.970001,70.32,64.830002,65.449997,61.688313,42669200,-5.20%
3/9/2020,60,62.139999,49.970001,61.110001,57.597748,61591700,-6.63%
3/16/2020,51.75,59.439999,51.5,53.110001,50.057541,54449800,-13.09%
3/23/2020,51.75,62.52,49.009998,56.77,53.507183,48842100,6.89%
3/30/2020,57.25,60.52,55.200001,55.790001,52.583511,46471600,-1.73%
4/6/2020,57.23,61.849998,57.220001,60.23,56.768322,39480000,7.96%
4/13/2020,60.240002,60.349998,54.52,56.919998,54.366791,34551000,-5.50%
4/20/2020,55.240002,57.439999,53.919998,54.869999,52.408741,22980500,-3.60%
4/27/2020,55.18,60.419998,54.639999,57.040001,54.481411,27451800,3.95%
5/4/2020,56.540001,58.650002,56.09,57.029999,54.471859,24719900,-0.02%
5/11/2020,56.650002,58.310001,53.189999,54.900002,52.437401,20781300,-3.73%
5/18/2020,56.91,57.490002,54.799999,55.52,53.029591,13161500,1.13%
5/25/2020,55.950001,63.09,55.630001,58.98,56.334385,28616000,6.23%
6/1/2020,59.110001,65.550003,59.110001,65.010002,62.093906,19550100,10.22%
6/8/2020,66.150002,66.290001,60.470001,62.41,59.610527,23037200,-4.00%
6/15/2020,61,63.860001,60.759998,61.57,58.808205,33270300,-1.35%
6/22/2020,61.400002,62.59,59.240002,59.48,56.811954,31199500,-3.39%
6/29/2020,59.849998,61.869999,59.639999,60.650002,57.929478,20866600,1.97%
7/6/2020,61.73,61.73,58.279999,59.919998,57.23222,57731600,-1.20%
7/13/2020,60.099998,62.470001,59.619999,61.68,59.695351,41574800,2.94%
7/20/2020,61.41,62.509998,60.27,60.580002,58.630749,19324800,-1.78%
7/27/2020,60.16,60.27,58.720001,59.27,57.362896,22923000,-2.16%
8/3/2020,59.299999,61.25,59.299999,61.200001,59.230801,15934200,3.26%
8/10/2020,61.330002,64.379997,61.200001,63.43,61.389042,22201500,3.64%
8/17/2020,63.419998,63.439999,61.75,62.200001,60.198624,10533600,-1.94%
8/24/2020,62.5,67.400002,62.48,65.779999,63.663425,20915700,5.76%
8/31/2020,65.5,65.669998,62.93,63.419998,61.379364,20235700,-3.59%
9/7/2020,62.98,64.059998,62.509998,63.310001,61.272907,12294700,-0.17%
9/14/2020,63.689999,63.900002,61.919998,62.080002,60.082481,33815600,-1.94%
9/21/2020,61.049999,61.779999,60.09,61.32,59.346935,22276300,-1.22%
9/28/2020,62.029999,62.799999,61.150002,62.5,60.488972,29404200,1.92%
10/5/2020,62.799999,63.91,61.439999,61.540001,59.559856,53264500,-1.54%
10/12/2020,61.400002,61.5,59.380001,60.419998,59.213612,44181300,-1.82%
10/19/2020,60.560001,60.610001,58.860001,60.529999,59.321419,27173500,0.18%
10/26/2020,60.110001,60.240002,57.439999,58.779999,57.606361,21658700,-2.89%
11/2/2020,59.099998,60.439999,58.560001,59.52,58.331585,28486500,1.26%
11/9/2020,61.889999,65.160004,61.860001,64.889999,63.59436,35625800,9.02%
11/16/2020,65.620003,68.860001,65.419998,68.860001,67.4851,25056100,6.12%
11/23/2020,69,71.559998,69,70.900002,69.484367,20132500,2.96%
11/30/2020,70.300003,71.720001,69.279999,70.900002,69.484367,21590200,0.00%
12/7/2020,70.68,72.510002,70.25,71.879997,70.444801,20173000,1.38%
12/14/2020,72.349998,72.470001,71.410004,71.779999,70.346794,38819000,-0.14%
