Date,Open,High,Low,Close,Adj Close,Volume,perc_return
5/28/2018,98.699997,99.010002,96.25,98.139999,86.784088,12145800,-0.45%
6/4/2018,98.169998,99.889999,98.150002,99.889999,88.331627,7952600,1.78%
6/11/2018,99.849998,100.5,99.400002,100.260002,88.658806,13481600,0.37%
6/18/2018,99.860001,101.510002,99.699997,101.370003,89.640381,8235300,1.11%
6/25/2018,101.239998,101.239998,98.440002,98.989998,87.535751,12082900,-2.35%
7/2/2018,99.199997,100.25,98.699997,100.199997,88.605728,4305700,1.22%
7/9/2018,100.5,101.629997,100.279999,101.459999,89.719955,9303400,1.26%
7/16/2018,101.339996,102.43,101,101.480003,89.73764,6605300,0.02%
7/23/2018,101.470001,102.459999,100.550003,101.089996,89.392761,6550400,-0.38%
7/30/2018,101.25,101.849998,100.75,101.419998,90.518524,7526900,0.33%
8/6/2018,101.699997,101.919998,100.330002,101.300003,90.411423,6692400,-0.12%
8/13/2018,101.110001,102.989998,101.059998,102.800003,91.750191,8507200,1.48%
8/20/2018,102.300003,104.139999,102.199997,103.639999,92.499908,12707100,0.82%
8/27/2018,103.870003,104.980003,103.459999,103.660004,92.517761,10926900,0.02%
9/3/2018,103.599998,104.239998,103.089996,103.580002,92.446335,8081600,-0.08%
9/10/2018,103.949997,104.080002,102.760002,103.07,91.991173,8105800,-0.49%
9/17/2018,103.029999,104.839996,103,104.089996,92.90152,11406800,0.99%
9/24/2018,104.209999,105.120003,103.419998,103.540001,92.410645,10382400,-0.53%
10/1/2018,104.620003,104.639999,102.370003,102.889999,91.830513,9448200,-0.63%
10/8/2018,102.510002,103.290001,98.389999,98.779999,88.1623,14380100,-3.99%
10/15/2018,99.010002,100.089996,98.220001,99,88.358643,11718700,0.22%
10/22/2018,99.089996,99.18,93.129997,94.489998,84.333427,15690700,-4.56%
10/29/2018,95.199997,96.889999,93.699997,95.75,86.317291,13570700,1.33%
11/5/2018,95.660004,96.75,94.900002,95.949997,86.497589,10538600,0.21%
11/12/2018,95.860001,96.470001,94.639999,95.370003,85.974724,9245600,-0.60%
11/19/2018,95.199997,96.639999,93.209999,95.059998,85.695267,10732100,-0.33%
11/26/2018,95.589996,98.739998,94.300003,97.419998,87.822769,16785700,2.48%
12/3/2018,98.349998,98.349998,94.279999,94.559998,85.244507,18101100,-2.94%
12/10/2018,94.550003,95.75,93.360001,94.32,85.02816,15669100,-0.25%
12/17/2018,94,94.5,90.940002,90.949997,81.990166,27260900,-3.57%
